table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;shape;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--EX--SKUP--SKUP--M;Izvoz blaga, realno, desezonirano;indeks;M;1;Izvoz in uvoz blaga;desezonirano;;Izvoz blaga;linija;;;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--IM--SKUP--SKUP--M;Uvoz blaga, realno, desezonirano;indeks;M;1;Izvoz in uvoz blaga;desezonirano;;Uvoz blaga;linija;;;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--EX--SKUP--SKUP--M;Izvoz blaga, realno, desezonirano;indeks;M;1;Izvoz in uvoz blaga;trimesečne drseče sredine, desezonirano;;Izvoz blaga;linija;3;r;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--IM--SKUP--SKUP--M;Uvoz blaga, realno, desezonirano;indeks;M;1;Izvoz in uvoz blaga;trimesečne drseče sredine, desezonirano;;Uvoz blaga;linija;3;r;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
