table_code;table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;shape;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--IM--EU--SKUP--M;Uvoz blaga iz EU, realno, desezonirano;indeks;M;3;Uvoz blaga - po regijah;desezonirano;;Uvoz blaga iz EU;linija;;;;;;
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--IM--NEEU--SKUP--M;Uvoz blaga iz izven EU, realno, desezonirano;indeks;M;3;Uvoz blaga - po regijah;desezonirano;;Uvoz blaga iz izven EU;linija;;;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--IM--SKUP--SKUP--M;Uvoz blaga, realno, desezonirano;indeks;M;3;Uvoz blaga - po regijah;desezonirano;;Uvoz blaga;linija;;;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--IM--EU--SKUP--M;Uvoz blaga iz EU, realno, desezonirano;indeks;M;3;Uvoz blaga - po regijah;trimesečne drseče sredine, desezonirano;;Uvoz blaga iz EU;linija;3;r;;;;
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--IM--NEEU--SKUP--M;Uvoz blaga iz izven EU, realno, desezonirano;indeks;M;3;Uvoz blaga - po regijah;trimesečne drseče sredine, desezonirano;;Uvoz blaga iz izven EU;linija;3;r;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
MH003;Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--IM--SKUP--SKUP--M;Uvoz blaga, realno, desezonirano;indeks;M;3;Uvoz blaga - po regijah;trimesečne drseče sredine, desezonirano;;Uvoz blaga;linija;3;r;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
