table_name;series_code;series_name;unit_name;interval_id;chart_no;chart_title;sub_chart;sub_chart_title;legend_label;shape;rolling_average_periods;rolling_average_alignment;year_on_year;xmin;xmax;notes
Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--EX--EU--SKUP--M;Izvoz blaga v EU, realno, desezonirano;indeks;M;2;Izvoz blaga - po regijah;desezonirano;;Izvoz blaga v EU;linija;;;;;;
Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--EX--NEEU--SKUP--M;Izvoz blaga izven EU, realno, desezonirano;indeks;M;2;Izvoz blaga - po regijah;desezonirano;;Izvoz blaga izven EU;linija;;;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--EX--SKUP--SKUP--M;Izvoz blaga, realno, desezonirano;indeks;M;2;Izvoz blaga - po regijah;desezonirano;;Izvoz blaga;linija;;;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--EX--EU--SKUP--M;Izvoz blaga v EU, realno, desezonirano;indeks;M;2;Izvoz blaga - po regijah;trimesečne drseče sredine, desezonirano;;Izvoz blaga v EU;linija;3;r;;;;
Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--EX--NEEU--SKUP--M;Izvoz blaga izven EU, realno, desezonirano;indeks;M;2;Izvoz blaga - po regijah;trimesečne drseče sredine, desezonirano;;Izvoz blaga izven EU;linija;3;r;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
Blagovna menjava - realno;UMAR-SURS--MH003--OSNO--REA--EX--SKUP--SKUP--M;Izvoz blaga, realno, desezonirano;indeks;M;2;Izvoz blaga - po regijah;trimesečne drseče sredine, desezonirano;;Izvoz blaga;linija;3;r;;;;Popravljeno za oceno oplemenitenja blaga v povezavi z menjavo farmacije s Švico.
